
2025/01/25 (02:33:20) | ===> btop++ v.1.4.0
2025/01/25 (02:33:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/25 (02:33:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (11:22:25) | ===> btop++ v.1.4.0
2025/01/25 (11:22:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/25 (11:22:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (16:59:42) | ===> btop++ v.1.4.0
2025/01/25 (16:59:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/25 (16:59:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (14:46:46) | ===> btop++ v.1.4.0
2025/01/26 (14:46:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (14:46:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (14:19:03) | ===> btop++ v.1.4.0
2025/01/28 (14:19:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/28 (14:19:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (08:17:41) | ===> btop++ v.1.4.0
2025/01/29 (08:17:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/29 (08:17:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (11:42:45) | ===> btop++ v.1.4.0
2025/01/31 (11:42:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/31 (11:42:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (10:56:31) | ===> btop++ v.1.4.0
2025/02/04 (10:56:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/04 (10:56:31) | WARNING: Intel GPU: Failed to initialize PMU
